productId,title,type,price
114,Fresh Milk / Caramel - Frappe,Milk 100% Natural,30
115,Pink Milk - Hot,Milk 100% Natural,25
116,Pink Milk - Iced,Milk 100% Natural,25
117,Pink Milk - Frappe,Milk 100% Natural,30
118,Honey Fresh Milk - Hot,Milk 100% Natural,30
119,Honey Fresh Milk - Iced,Milk 100% Natural,30
120,Honey Fresh Milk - Frappe,Milk 100% Natural,35
121,Mint Fresh Milk - Hot,Milk 100% Natural,25
122,Mint Fresh Milk - Iced,Milk 100% Natural,25
123,Mint Fresh Milk - Frappe,Milk 100% Natural,30
124,Strawberry Fresh Milk - Hot,Milk 100% Natural,25
125,Strawberry Fresh Milk - Iced,Milk 100% Natural,25
126,Strawberry Fresh Milk - Frappe,Milk 100% Natural,30
127,Banana Fresh Milk - Hot,Milk 100% Natural,25
128,Banana Fresh Milk - Iced,Milk 100% Natural,25
129,Banana Fresh Milk - Frappe,Milk 100% Natural,30
130,Cantaloupe Fresh Milk - Hot,Milk 100% Natural,25
131,Cantaloupe Fresh Milk - Iced,Milk 100% Natural,25
132,Cantaloupe Fresh Milk - Frappe,Milk 100% Natural,30
133,White Malt Latte - Hot,Milk 100% Natural,30
134,White Malt Latte - Iced,Milk 100% Natural,30
135,White Malt Latte - Frappe,Milk 100% Natural,35
136,Cocoa Fresh Milk / Ovaltine - Hot,Milk 100% Natural,25
137,Cocoa Fresh Milk / Ovaltine - Iced,Milk 100% Natural,25
138,Cocoa Fresh Milk / Ovaltine - Frappe,Milk 100% Natural,30
139,Chocolate - Hot,Milk 100% Natural,25
140,Chocolate - Iced,Milk 100% Natural,30
141,Chocolate - Frappe,Milk 100% Natural,35
142,Choco-Mint - Hot,Milk 100% Natural,30
143,Choco-Mint - Iced,Milk 100% Natural,35
144,Choco-Mint - Frappe,Milk 100% Natural,40
145,Choco-Banana - Hot,Milk 100% Natural,30
146,Choco-Banana - Iced,Milk 100% Natural,35
147,Choco-Banana - Frappe,Milk 100% Natural,40
148,Choco Strawberry - Hot,Milk 100% Natural,30
149,Choco Strawberry - Iced,Milk 100% Natural,35
150,Choco Strawberry - Frappe,Milk 100% Natural,40
151,Choco-White Malt - Hot,Milk 100% Natural,30
152,Choco-White Malt - Iced,Milk 100% Natural,35
153,Choco-White Malt - Frappe,Milk 100% Natural,40
154,Rose Tea Lemonade - Iced,Fruit Tea|Tea,25
155,Rose Tea Lemonade - Frappe,Fruit Tea|Tea,30
156,Mint Tea Lemonade - Iced,Fruit Tea|Tea,25
157,Mint Tea Lemonade - Frappe,Fruit Tea|Tea,30
158,Strawberry Tea - Iced,Fruit Tea|Tea,25
159,Strawberry Tea - Frappe,Fruit Tea|Tea,30
160,Raspberry Tea - Iced,Fruit Tea|Tea,25
161,Raspberry Tea - Frappe,Fruit Tea|Tea,30
162,Blue Paradise Tea - Iced,Fruit Tea|Tea,25
163,Blue Paradise Tea - Frappe,Fruit Tea|Tea,30
164,Apple Tea - Iced,Fruit Tea|Tea,25
165,Apple Tea - Frappe,Fruit Tea|Tea,30
166,Ume Plum Tea - Iced,Fruit Tea|Tea,25
167,Ume Plum Tea - Frappe,Fruit Tea|Tea,30
168,Honey Lemon Tea - Iced,Fruit Tea|Tea,30
169,Honey Lemon Tea - Frappe,Fruit Tea|Tea,35
170,Rose Lemonade Soda,Italian Soda,25
171,Mint Lemonade Soda,Italian Soda,25
172,Strawberry Soda,Italian Soda,25
173,Raspberry Soda,Italian Soda,25
174,Blue Paradise Soda,Italian Soda,25
175,Apple Soda,Italian Soda,25
176,Ume Plum Soda,Italian Soda,25
177,Honey Lemon Soda,Italian Soda,30
178,Pandan Cake,Baked Goods,
179,Vanilla Egg Cake,Baked Goods,
180,Brownies,Baked Goods,
181,Butter Cake,Baked Goods,
182,Banana Cake,Baked Goods,
183,Biscuits,Baked Goods,
184,Chewy Bread,Baked Goods,
185,Cookies,Baked Goods,
186,Cornflakes Big,Other,
187,Cornflakes Small,Other,
188,Butter Toast,Baked Goods,
189,Orange Cake,Baked Goods,
190,Choco-Cake,Baked Goods,
191,Sandwich,Baked Goods,
192,Drip Coffee,Other,
193,Coffee Powder,Other,
194,Coconut Pandan Cake,Baked Goods,
195,Baked Cheesecake,Baked Goods,50
196,Blueberry Cheese Pie,Baked Goods,
197,Strawberry Cake,Baked Goods,
198,Blueberry Cake,Baked Goods,
199,Butter Toast Almond,Baked Goods,
200,Toffee Café,Baked Goods,
201,Taiwanese Milk Tea,Other,
202,Foi Thong Chiffon,Baked Goods,
